year,month,day,sazae_hand
2008,7,27,paper
2008,8,3,scissors
2008,8,17,rock
2008,8,24,paper
2008,8,31,scissors
2008,9,7,rock
2008,9,14,scissors
2008,9,21,paper
2008,9,28,rock
2008,10,5,scissors
2008,10,12,rock
2008,10,19,paper
2008,10,26,paper
2008,11,2,scissors
2008,11,9,scissors
2008,11,16,scissors
2008,11,23,paper
2008,11,30,scissors
2008,12,7,rock
2008,12,14,scissors
2008,12,21,paper
2008,12,28,rock
2009,1,4,scissors
2009,1,11,scissors
2009,1,18,paper
2009,1,25,paper
2009,2,1,rock
2009,2,8,scissors
2009,2,15,rock
2009,2,22,rock
2009,3,1,paper
2009,3,8,paper
2009,3,15,rock
2009,3,29,rock
2009,4,5,scissors
2009,4,12,paper
2009,4,19,rock
2009,4,26,paper
2009,5,3,paper
2009,5,10,scissors
2009,5,17,rock
2009,5,24,scissors
2009,5,31,paper
2009,6,7,rock
2009,6,14,rock
2009,6,21,scissors
2009,6,28,paper
2009,7,5,scissors
2009,7,12,paper
2009,7,19,rock
2009,7,26,scissors
2009,8,2,paper
2009,8,9,rock
2009,8,16,paper
2009,8,23,paper
2009,8,30,scissors
2009,9,6,rock
2009,9,13,scissors
2009,9,20,paper
2009,9,27,rock
2009,10,4,scissors
2009,10,11,scissors
2009,10,18,paper
2009,10,25,rock
2009,11,8,scissors
2009,11,15,scissors
2009,11,22,paper
2009,11,29,paper
2009,12,6,rock
2009,12,13,rock
2009,12,20,scissors
2009,12,27,paper
2010,1,10,scissors
2010,1,17,rock
2010,1,24,paper
2010,2,7,scissors
2010,2,14,rock
2010,2,21,paper
2010,2,28,paper
2010,3,7,rock
2010,3,14,scissors
2010,3,21,scissors
2010,3,28,paper
2010,4,4,rock
2010,4,11,rock
2010,4,18,scissors
2010,4,25,paper
2010,5,2,scissors
2010,5,9,paper
2010,5,16,rock
2010,5,23,paper
2010,5,30,rock
2010,6,6,scissors
2010,6,13,rock
2010,6,20,scissors
2010,6,27,paper
2010,7,4,scissors
2010,7,11,rock
2010,7,18,paper
2010,7,25,scissors
2010,8,1,paper
2010,8,8,scissors
2010,8,15,rock
2010,8,22,paper
2010,8,29,scissors
2010,9,12,rock
2010,9,19,rock
2010,9,26,paper
2010,10,3,scissors
2010,10,10,paper
2010,10,17,paper
2010,10,24,rock
2010,10,31,scissors
2010,11,14,scissors
2010,11,21,paper
2010,11,28,rock
2010,12,5,rock
2010,12,12,scissors
2010,12,19,paper
2010,12,26,paper
2011,1,2,scissors
2011,1,9,rock
2011,1,16,paper
2011,1,23,paper
2011,1,30,rock
2011,2,6,scissors
2011,2,13,rock
2011,2,20,paper
2011,2,27,scissors
2011,3,6,rock
2011,3,20,paper
2011,3,27,rock
2011,4,3,scissors
2011,4,10,scissors
2011,4,17,paper
2011,4,24,rock
2011,5,1,scissors
2011,5,8,paper
2011,5,15,paper
2011,5,22,rock
2011,5,29,rock
2011,6,5,scissors
2011,6,12,paper
2011,6,19,paper
2011,6,26,rock
2011,7,3,scissors
2011,7,10,rock
2011,7,17,paper
2011,7,24,scissors
2011,7,31,rock
2011,8,7,scissors
2011,8,14,rock
2011,8,21,paper
2011,8,28,paper
2011,9,4,scissors
2011,9,11,rock
2011,9,18,paper
2011,9,25,rock
2011,10,2,scissors
2011,10,9,rock
2011,10,16,scissors
2011,10,23,paper
2011,10,30,rock
2011,11,6,rock
2011,11,13,scissors
2011,11,20,paper
2011,11,27,paper
2011,12,4,scissors
2011,12,11,rock
2011,12,18,paper
2011,12,25,paper
2012,1,8,scissors
2012,1,15,rock
2012,1,22,rock
2012,1,29,scissors
2012,2,5,paper
2012,2,19,paper
2012,2,26,rock
2012,3,4,scissors
2012,3,11,rock
2012,3,18,paper
2012,3,25,paper
2012,4,1,scissors
2012,4,8,rock
2012,4,15,paper
2012,4,22,paper
2012,4,29,scissors
2012,5,6,rock
2012,5,13,scissors
2012,5,20,paper
2012,5,27,rock
2012,6,3,paper
2012,6,10,scissors
2012,6,17,rock
2012,6,24,paper
2012,7,1,scissors
2012,7,8,paper
2012,7,15,scissors
2012,7,22,scissors
2012,7,29,rock
2012,8,12,rock
2012,8,19,paper
2012,8,26,paper
2012,9,2,scissors
2012,9,9,rock
2012,9,16,paper
2012,9,23,paper
2012,9,30,rock
2012,10,7,scissors
2012,10,14,scissors
2012,10,21,paper
2012,10,28,rock
2012,11,4,rock
2012,11,11,paper
2012,11,18,scissors
2012,11,25,paper
2012,12,2,scissors
2012,12,9,rock
2012,12,23,scissors
2012,12,30,paper
2013,1,6,scissors
2013,1,13,rock
2013,1,20,rock
2013,1,27,paper
2013,2,3,scissors
2013,2,10,rock
2013,2,17,paper
2013,2,24,paper
2013,3,3,scissors
2013,3,10,rock
2013,3,17,scissors
2013,3,24,rock
2013,3,31,paper
2013,4,7,scissors
2013,4,14,paper
2013,4,21,scissors
2013,4,28,paper
2013,5,5,paper
2013,5,12,scissors
2013,5,19,rock
2013,5,26,rock
2013,6,2,scissors
2013,6,9,paper
2013,6,16,rock
2013,6,23,scissors
2013,6,30,paper
2013,7,7,scissors
2013,7,14,paper
2013,7,21,rock
2013,7,28,rock
2013,8,4,scissors
2013,8,11,paper
2013,8,25,paper
2013,9,1,scissors
2013,9,8,rock
2013,9,15,scissors
2013,9,22,paper
2013,9,29,paper
2013,10,6,scissors
2013,10,13,rock
2013,10,20,rock
2013,10,27,paper
2013,11,3,scissors
2013,11,10,scissors
2013,11,17,paper
2013,11,24,rock
2013,12,8,paper
2013,12,15,paper
2013,12,22,scissors
2014,1,5,scissors
2014,1,12,rock
2014,1,19,paper
2014,1,26,rock
2014,2,2,scissors
2014,2,9,paper
2014,2,16,scissors
2014,2,23,rock
2014,3,2,rock
2014,3,9,paper
2014,3,16,scissors
2014,3,23,paper
2014,3,30,rock
2014,4,6,scissors
2014,4,13,rock
2014,4,20,rock
2014,4,27,paper
2014,5,4,scissors
2014,5,11,paper
2014,5,18,rock
2014,5,25,paper
2014,6,1,scissors
2014,6,8,paper
2014,6,15,rock
2014,6,22,scissors
2014,6,29,paper
2014,7,6,scissors
2014,7,13,rock
2014,7,20,scissors
2014,7,27,scissors
2014,8,3,paper
2014,8,10,rock
2014,8,17,paper
2014,8,24,scissors
2014,8,31,paper
2014,9,7,rock
